Date,Price,Open,High,Low,Volume,Chg%,Log_Price,Mean_12,First_Diff
2014-06-24,28167,28099,28369,27860,17400,0.2,10.245906358926657,10.218681438234574,0.001990121130200251
2014-06-25,28221,28121,28290,28057,14010,0.19,10.247821660640062,10.22378351953643,0.0019153017134048156
2014-06-26,28126,28190,28208,27935,17380,-0.34,10.244449694430193,10.22808197893699,-0.003371966209869015
2014-06-27,28063,28201,28236,28005,9920,-0.22,10.24220726169782,10.232118729842211,-0.002242432732373345
2014-06-30,28076,28000,28185,27967,8760,0.05,10.242670397850311,10.235332052236343,0.0004631361524918276
2014-07-01,27975,28210,28277,27950,4410,-0.36,10.239066533180125,10.237566080849874,-0.003603864670186141
2014-07-02,27788,27950,28225,27750,2880,-0.67,10.232359551812772,10.238753060669895,-0.006706981367353038
2014-07-03,27802,27552,27900,27552,1200,0.05,10.232863239537037,10.239912079714992,0.0005036877242652338
2014-07-04,27913,27884,27975,27755,260,0.4,10.236847809109337,10.241600939553388,0.0039845695722995345
2014-07-07,27564,27611,27611,27455,11210,-1.25,10.224265852477098,10.239818276403815,-0.012581956632239155
2014-07-08,27594,27582,27725,27460,15210,0.11,10.225353636767979,10.23814401951882,0.0010877842908811886
2014-07-09,27667,27620,27771,27612,11340,0.26,10.227995646230818,10.236817303555016,0.002642009462839212
2014-07-10,28565,27650,28649,27560,40700,3.25,10.259937471158564,10.237986562907675,0.031941824927745444
2014-07-11,28441,28517,28579,28302,15110,-0.43,10.25558704504304,10.23863367827459,-0.004350426115523831
2014-07-12,28413,28413,28413,28413,0,-0.1,10.254602065894211,10.239479709229927,-0.0009849791488285575
2014-07-13,28413,28413,28413,28413,0,0.0,10.254602065894211,10.240512609579625,0.0
2014-07-14,27860,28380,28380,27839,21930,-1.95,10.234947247333796,10.239869013703249,-0.019654818560415066
2014-07-15,27752,27890,28050,27686,18230,-0.39,10.231063188649586,10.239202068325703,-0.0038840586842106006
2014-07-16,27767,27800,27825,27671,14010,0.05,10.231603544216687,10.239139067692697,0.0005403555671019689
2014-07-17,28237,27824,28450,27810,24740,1.69,10.248388453669511,10.240432835537069,0.016784909452823626
2014-07-18,28028,28227,28233,27960,13870,-0.74,10.240959289490425,10.240775458902162,-0.007429164179086456
2014-07-20,28030,28030,28030,28030,0,0.01,10.241030644158833,10.242172524875638,7.135466840857418e-05
2014-07-21,28120,28068,28247,28022,13210,0.32,10.244236345924602,10.243746083972024,0.0032057017657685094
2014-07-22,27939,28061,28135,27851,19880,-0.64,10.237778841189767,10.244561350218603,-0.006457504734834529
2014-07-23,27915,27930,28046,27888,11870,-0.09,10.236919457744461,10.242643182434096,-0.0008593834453058946
